DATE	NAME	YEAR	LENGTH	RATING	DIRECTOR	PRIMARY_LANGUAGE	FOREIGN	GENRE	REWATCH
may	the_battle_of_algiers	1966	121	NA	gillo_pontecorvo	arabic	no	"war,history,drama"	no
march	paradise_now	2005	90	4.5	hany_abu_assad	arabic	yes	"crime,war,thriller,drama"	no
october	lions_of_mesopotamia	2024	86	4.5	lucian_reed	arabic	yes	documentary	no
june	the_music_room	1958	100	4	satyajit_ray	bengali	yes	"drama,music"	no
august	eat_drink_man_woman	1994	123	4.5	ang_lee	cantonese	yes	"romance,drama,comedy"	no
may	a_touch_of_sin	2013	121	4	jia_zhangke	cantonese	yes	"drama,action,crime"	no
february	ikarie_xb_1	1963	88	4.5	jindrich_polak	czech	yes	science fiction	no
january	cat_on_a_hot_tin_roof	1958	108	NA	richard_brooks	english	no	drama	no
january	tongues_untied	1989	55	NA	marlon_riggs	english	no	documentary	no
february	Falsettos	2017	143	NA	"matthew_diamond, james_lapine"	english	no	"comedy,music,romance,drama"	no
february	chameleon_street	1989	94	NA	wendell_b_harris_jr	english	no	"comedy,drama"	no
march	the_war_game	1966	48	NA	peter_watkins	english	no	"war,TV movie"	no
april	secrets_of_the_tribe	2010	98	NA	jose_padilha	english	no	"TV movie,documentary"	no
september	thailand_moment	2015	11	NA	"les_blank, skip_gerson"	english	no	documentary	no
december	Klaus	2019	96	NA	sergio_pablos	english	no	"comedy,adventure,animation,fantasy,family"	no
december	the_karate_kid	1984	126	NA	john_g_avildsen	english	no	"family,drama,action"	no
december	Home Sweet Home	1982	86	NA	mike_leigh	english	no	"TV movie,drama"	no
december	Stormy Weather	1943	78	NA	andrew_l_stone	english	no	music	no
december	all_that_jazz	1979	123	NA	bob_fosse	english	no	"music,drama"	no
january	punishment_park	1971	88	5	peter_watkins	english	no	"drama,thriller"	no
february	the_fall	2006	119	5	tarsem_singh	english	no	"adventure,fantasy,drama"	no
march	dune_part_two	2024	167	5	denis_villeneuve	english	no	"adventure,science fiction"	no
may	Kes	1969	111	5	ken_loach	english	no	drama	no
june	brokeback_mountain	2005	134	5	ang_lee	english	no	"romance,drama"	no
august	sing_sing	2023	107	5	greg_kwedar	english	no	drama	no
january	love_streams	1984	141	4.5	john_cassavetes	english	no	drama	no
march	Ratcatcher	1999	94	4.5	lynne_ramsay	english	no	drama	no
march	Problemista	2023	104	4.5	julio_torres	english	no	comedy	no
